flat_name,slug,issue_type,excel_value,db_value,details
K07A507,k07a507,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K08A102,k08a102,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K08A102,k08a102,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K08A102,k08a102,OCCUPANCY_STATUS_MISMATCH,Occupied,Occupied & On Notice,"Excel: Occupied, DB: Occupied & On Notice"
K08A102,k08a102,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K08A303,k08a303,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-09-23,"Excel is NULL, but DB has date 2025-09-23"
K08A404,k08a404,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-09-05,"Excel is NULL, but DB has date 2025-09-05"
K08C205,k08c205,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K08C205,k08c205,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K08C205,k08c205,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K08C205,k08c205,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K08C304,k08c304,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-09-07,"Excel is NULL, but DB has date 2025-09-07"
K08C404,k08c404,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K08C404,k08c404,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K08C404,k08c404,OCCUPANCY_STATUS_MISMATCH,Occupied,Occupied & On Notice,"Excel: Occupied, DB: Occupied & On Notice"
K08C404,k08c404,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K08C405,k08c405,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-09-04,"Excel is NULL, but DB has date 2025-09-04"
K08C504,k08c504,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K08C504,k08c504,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K08C504,k08c504,OCCUPANCY_STATUS_MISMATCH,Occupied,Occupied & On Notice,"Excel: Occupied, DB: Occupied & On Notice"
K08C504,k08c504,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K09A202,k09a202,AVAILABLE_DATE_MISMATCH,2025-09-10,2025-09-12,"Excel: 2025-09-10, DB: 2025-09-12"
K09A202,k09a202,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied & On Notice,"Excel: Vacant, DB: Occupied & On Notice"
K09A401,k09a401,AVAILABLE_DATE_MISSING_IN_DB,2025-10-23,NULL,"Excel has date 2025-10-23, but DB is NULL"
K09A401,k09a401,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K09A401,k09a401,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K09A401,k09a401,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K09A401,k09a401,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K09B201,k09b201,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied & On Notice,"Excel: Vacant, DB: Occupied & On Notice"
K09B202,k09b202,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-09-07,"Excel is NULL, but DB has date 2025-09-07"
K09B202,k09b202,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K09B202,k09b202,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K09B202,k09b202,OCCUPANCY_STATUS_MISMATCH,Occupied,Occupied & On Notice,"Excel: Occupied, DB: Occupied & On Notice"
K09B202,k09b202,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K09E302,k09e302,AVAILABLE_DATE_MISMATCH,2025-10-25,2024-04-18,"Excel: 2025-10-25, DB: 2024-04-18"
K09E302,k09e302,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K09E302,k09e302,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K09E302,k09e302,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K09E302,k09e302,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K09F202,k09f202,AVAILABLE_DATE_MISSING_IN_DB,2025-10-03,NULL,"Excel has date 2025-10-03, but DB is NULL"
K09F202,k09f202,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K09F202,k09f202,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K09F202,k09f202,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K09F202,k09f202,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K09G502,k09g502,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied & On Notice,"Excel: Vacant, DB: Occupied & On Notice"
K10A002,k10a002,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K10A002,k10a002,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K10A002,k10a002,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K10A002,k10a002,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K10A008,k10a008,AVAILABLE_DATE_MISMATCH,2025-09-04,2025-08-02,"Excel: 2025-09-04, DB: 2025-08-02"
K10A008,k10a008,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K10A008,k10a008,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K10A008,k10a008,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied,"Excel: Vacant, DB: Occupied"
K10A008,k10a008,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K10A407,k10a407,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K10A407,k10a407,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K10A407,k10a407,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K10A407,k10a407,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K11A302,k11a302,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-09-13,"Excel is NULL, but DB has date 2025-09-13"
K11A308,k11a308,AVAILABLE_DATE_MISMATCH,2025-09-03,2025-06-05,"Excel: 2025-09-03, DB: 2025-06-05"
K11A308,k11a308,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K11A308,k11a308,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K11A308,k11a308,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied,"Excel: Vacant, DB: Occupied"
K11A308,k11a308,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K11A504,k11a504,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Vacant,"Excel: Occupied & On Notice, DB: Vacant"
K13A101,k13a101,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-07-17,"Excel is NULL, but DB has date 2025-07-17"
K13A305,k13a305,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied & On Notice,"Excel: Vacant, DB: Occupied & On Notice"
K13A308,k13a308,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-06-02,"Excel is NULL, but DB has date 2025-06-02"
K13A308,k13a308,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K13A308,k13a308,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K13A308,k13a308,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K13A308,k13a308,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K14A201,k14a201,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-09-08,"Excel is NULL, but DB has date 2025-09-08"
K14A301,k14a301,AVAILABLE_DATE_MISMATCH,2025-10-19,2024-09-27,"Excel: 2025-10-19, DB: 2024-09-27"
