flat_name,slug,issue_type,excel_value,db_value,details
K18F402,k18f402,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied & On Notice,"Excel: Vacant, DB: Occupied & On Notice"
K19A302,k19a302,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied & On Notice,"Excel: Vacant, DB: Occupied & On Notice"
K19A305,k19a305,AVAILABLE_DATE_MISMATCH,2025-10-20,2024-08-01,"Excel: 2025-10-20, DB: 2024-08-01"
K19A305,k19a305,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K19A305,k19a305,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K19A305,k19a305,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K19A305,k19a305,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K19A510,k19a510,AVAILABLE_DATE_MISSING_IN_DB,2025-10-22,NULL,"Excel has date 2025-10-22, but DB is NULL"
K19A510,k19a510,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K19A510,k19a510,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K19A510,k19a510,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K19A510,k19a510,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K20A303,k20a303,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-07-17,"Excel is NULL, but DB has date 2025-07-17"
K20A303,k20a303,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K20A303,k20a303,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K20A303,k20a303,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K20A303,k20a303,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K20A401,k20a401,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-08-20,"Excel is NULL, but DB has date 2025-08-20"
K20A506,k20a506,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K20A506,k20a506,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K20A506,k20a506,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K20A506,k20a506,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K20B501,k20b501,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-05-01,"Excel is NULL, but DB has date 2025-05-01"
K20B501,k20b501,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K20B501,k20b501,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K20B501,k20b501,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K20B501,k20b501,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K20B607,k20b607,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-05-01,"Excel is NULL, but DB has date 2025-05-01"
K21A102,k21a102,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-09-08,"Excel is NULL, but DB has date 2025-09-08"
K21A301,k21a301,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-09-09,"Excel is NULL, but DB has date 2025-09-09"
K21A301,k21a301,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K21A301,k21a301,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K21A301,k21a301,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K21A301,k21a301,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K21A405,k21a405,AVAILABLE_DATE_MISSING_IN_EXCEL,NULL,2025-08-26,"Excel is NULL, but DB has date 2025-08-26"
K21A405,k21a405,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K21A405,k21a405,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K21A405,k21a405,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K21A405,k21a405,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K23C002,k23c002,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K23C002,k23c002,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K23C002,k23c002,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K23C002,k23c002,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K23C003,k23c003,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K23C003,k23c003,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K23C003,k23c003,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K23C003,k23c003,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K23C101,k23c101,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K23C101,k23c101,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K23C101,k23c101,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K23C101,k23c101,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K23C102,k23c102,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K23C102,k23c102,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K23C102,k23c102,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K23C102,k23c102,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K24A203,k24a203,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Vacant,"Excel: Occupied & On Notice, DB: Vacant"
K24A303,k24a303,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Vacant,"Excel: Occupied & On Notice, DB: Vacant"
K24A401,k24a401,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Vacant,"Excel: Occupied & On Notice, DB: Vacant"
K24A404,k24a404,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Vacant,"Excel: Occupied & On Notice, DB: Vacant"
K24A512,k24a512,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K24A512,k24a512,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K24A512,k24a512,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
K24A512,k24a512,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K27A101,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A102,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A103,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A104,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A105,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A106,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A107,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A108,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A109,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A201,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A202,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A203,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A204,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A205,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A206,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A207,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A208,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A209,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A301,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A302,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A303,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A304,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A305,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A306,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A307,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A308,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A309,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A401,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A402,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A403,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A404,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A405,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A406,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A407,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A408,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A409,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A501,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A502,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A503,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A504,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A505,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A506,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A507,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A508,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
K27A509,NOT_FOUND_IN_DB,MISSING_FROM_DB,N/A,N/A,Flat not found in database
